scenario,statement_1,statement_2,gold_statement,sentence_1,sentence_2,human_prediction
"Jennifer, who prioritizes hygiene, is deciding between taking baths or showers.","Jennifer wants to stay as hygienic as possible, so she takes baths instead of showers.","Jennifer wants to stay as hygienic as possible, so she takes showers instead of baths.","Jennifer wants to stay as hygienic as possible, so she takes showers instead of baths.","Jennifer has read research suggesting that showering tends to be more hygienic than bathing because the water continuously drains away, rather than sitting stagnant as you bathe.",Jennifer understands that showers efficiently rinse off dirt and sweat.,1
"A storm watch is in effect, and the decision is being made whether to go out to the bar or stay inside.","Since there is a storm watch, it's best to go out to the bar rather than stay inside.","Since there is a storm watch, it's best to stay inside rather than go out to the bar.","Since there is a storm watch, it's best to stay inside rather than go out to the bar.",The storm watch indicates potential for strong winds and lightning.,Authorities have issued a warning cautioning residents to avoid unnecessary trips due to the storm.,2
The speed of travel is being compared between using a motorcycle and using a bicycle.,It is faster to travel by motorcycle than by bicycle.,It is faster to travel by bicycle than by motorcycle.,It is faster to travel by bicycle than by motorcycle.,"The area in which you are travelling is largely made up of narrow, congested roads or bike paths.",The travel route includes numerous narrow paths or trails which are not accessible to motorcycles.,2
A five-year-old child is attempting to open both a plastic bottle and a glass bottle.,A five year old will have an easier time uncapping a plastic bottle than a glass bottle.,A five year old will have an easier time uncapping a glass bottle than a plastic bottle.,A five year old will have an easier time uncapping a glass bottle than a plastic bottle.,The cap on the glass bottle is not as tightly secured as the cap on the plastic bottle.,The glass bottle is designed with a twist-off cap.,1
The spiciness of a hot sauce is being discussed in relation to the choice between using habanero peppers or jalapeno peppers.,A hot sauce is going to be hotter if it uses habanero peppers rather than jalapeno.,A hot sauce is not going to be hotter if it uses habanero peppers rather than jalapeno.,A hot sauce is going to be hotter if it uses habanero peppers rather than jalapeno.,"The capsaicin content, which determines the heat, of habanero peppers is generally higher than that of jalapeno peppers.",Habaneros used in the hot sauce come from a particularly hot variety which is known to be significantly spicier than most jalapenos.,2
The comparison is being made between the harmfulness of UV rays from the sun and UV rays from a tanning bed.,UV rays from the sun are more harmful than a tanning bed.,UV rays from a tanning bed are more harmful than the sun.,UV rays from a tanning bed are more harmful than the sun.,Some tanning beds primarily emit UVA rays which are known to penetrate deeper into our skin compared to UVB rays from the sun.,The skin is exposed to both UVA and UVB rays in a tanning bed.,2
Bob spends his day watching TV while his wife engages in regular exercise. The outcome of a race between them is being considered.,Bob watches TV all day while his wife exercises. His wife would lose in a race.,Bob watches TV all day while his wife exercises. His wife would win in a race.,Bob watches TV all day while his wife exercises. His wife would win in a race.,"Bob leads an entirely sedentary lifestyle and doesn't engage in any form of physical activity, while his wife does regular cardio workouts.",Bob's wife engages in regular cardiovascular exercises like running or cycling.,1
"The best method for conditioning a baseball glove is being discussed, comparing the use of special oil and mayonnaise.","To condition a baseball glove, it's better to use special oil than mayonnaise.","To condition a baseball glove, it's better to use mayonnaise than special oil.","To condition a baseball glove, it's better to use special oil than mayonnaise.",Many professional baseball players and gear experts recommend the usage of special oil over household items.,Special oil has been specifically designed for conditioning leather.,1
The ease of carrying a cup is being compared between one person and six people.,"It would be easier for one person to carry the cup, than it would be for six people to carry the cup.","It would be easier for six people to carry the cup, than it would be for one person to carry the cup.","It would be easier for one person to carry the cup, than it would be for six people to carry the cup.",The cup in question is small and lightweight.,The six people attempting to carry the cup do not have good coordination skills.,1
Pat is considering whether they would encounter more people at the gym or at the park during January in New York.,It was January in New York so Pat knew that he would see more people in the gym rather than at the park.,It was January in New York so Pat knew that he would see more people at the park rather than in the gym.,It was January in New York so Pat knew that he would see more people at the park rather than in the gym.,The park near Pat's house is a popular location for winter outdoor activities such as sledding or ice skating.,A popular winter festival or event is taking place at the park.,1
